Sample_ID,ACR_Class,ANXA5,AP1M1,C1GALT1C1,CLK1,EFTUD2,MAP1A,SENP6,SENP7,TSC22D1,SPCS3,ZMAT1,ETAA1,ZNF493,CCDC82,NFYB,F13A1,TUBB1,Set_Type,probability,numbers
R.526.6,0,13.318415,12.7131,10.534218,13.216209,10.841987,6.754772,10.775909,11.794826,9.871866,12.202204,7.788034,8.410858,10.62905,9.184456,8.625029,10.681158,12.53995,0,0.13113633,41
R.1197.6,0,13.108652,11.858922,10.470253,13.516887,11.321557,6.165774,9.94395,11.181404,9.299197,11.33503,8.595074,9.408577,10.230282,10.809032,10.24091,10.86005,11.283012,0,0.134666673,42
R.4018.17,0,13.858279,12.354203,10.640292,13.003839,11.206068,9.375497,10.921176,11.613657,12.56177,12.003839,9.271425,9.096521,11.435025,9.171483,8.482413,13.630362,16.064971,0,0.145902939,43
R.2279.7.20A1,0,12.892412,12.818274,10.148415,12.807922,11.499044,7.556988,10.514401,12.039281,11.106498,11.556933,8.616555,7.825403,9.918805,8.95449,8.304665,11.639983,13.805162,0,0.147014672,44
R.664.19,0,13.548311,11.903579,10.896545,14.037938,10.834104,6.423374,10.842558,11.712907,10.151294,11.835219,8.238841,9.375119,10.98119,10.974323,10.06495,10.882805,11.383071,0,0.153617328,45
R.1598.25,1,13.711307,12.302692,11.309997,14.510219,10.511228,5.68064,11.415966,11.96436,10.350492,11.546514,7.198489,8.391134,11.321871,10.969402,9.696942,10.824835,12.302692,0,0.156286807,46
R.281.1,0,13.76903,12.560271,10.89685,13.248744,10.824884,6.999863,11.018835,11.872434,9.743742,12.178164,8.170488,8.774449,10.485965,9.622139,8.834852,10.284134,12.252095,0,0.161536223,47
R.521.13,0,12.970138,12.479427,10.13073,12.646515,10.811182,8.086769,10.603483,11.427148,10.602235,11.864228,8.079609,8.035888,10.063369,8.904291,7.759475,12.429614,13.892976,0,0.174091543,48
R.264.23,0,14.124084,12.248249,10.342069,13.012001,11.609246,5.301936,10.162092,11.184503,10.405806,11.188682,7.482908,7.876132,10.038004,9.731657,8.855291,10.954551,12.749233,0,0.174553773,49
R.1677.20,0,13.70971,11.852662,10.006552,13.102903,11.444906,7.732652,10.245052,11.098709,10.915517,10.90155,6.455128,7.902071,9.664766,9.758435,8.871099,12.32021,13.722511,0,0.180511382,50
R.2997.7.20A1,1,13.005769,12.557158,10.195622,12.92688,11.108986,7.312176,10.405292,11.846455,10.240466,11.407396,8.639401,8.271785,10.169249,9.308878,8.87235,11.553194,13.798421,0,0.187316259,51
R.551.24,0,13.306177,12.548256,11.058712,13.509962,10.753754,7.521181,11.028122,11.591473,9.0292,11.88162,8.25978,9.647307,11.316222,10.553511,10.147769,10.000904,11.787277,0,0.188456852,52
R.486.13,0,13.863429,12.018927,9.93242,12.769983,11.343504,5.952095,9.730929,11.035589,10.3856,11.095676,6.507295,6.40676,9.060071,8.878822,7.731814,11.726521,12.80706,0,0.19254424,53
R.306.13,0,13.811708,12.11206,10.378518,12.967621,11.217505,7.768465,10.605346,11.503531,11.347086,11.952035,8.390902,9.12045,10.998296,10.387816,9.623825,12.592,13.602021,0,0.195171551,54
R.1277.17,0,13.824389,12.285762,10.157622,12.591988,10.89352,6.942323,10.2967,11.251502,10.166263,11.614384,6.954654,6.721993,9.621169,8.714762,7.972955,11.836985,12.703618,0,0.198482596,55
R.181.31,0,13.728593,12.45761,9.982117,12.369539,11.463997,7.214076,9.489293,10.925587,10.224268,10.784509,7.815028,7.225316,10.095162,9.153535,8.305038,12.359284,13.207319,0,0.206086906,56
R.1317.19,0,13.646938,12.002989,10.672225,13.95936,10.854876,6.040405,10.829412,11.405785,10.184828,11.438787,7.1055,8.473364,11.186082,10.889557,9.983821,10.786635,11.383539,0,0.20678341,57
R.221.35,0,13.524084,12.636135,10.992987,13.781297,10.903244,7.406741,11.101716,11.386367,9.314453,11.591658,7.487661,9.105282,11.61035,10.395522,9.659851,11.025471,12.876156,0,0.207373478,58
R.4917.10.20A1,0,13.021,12.750546,10.341975,12.189929,11.247806,8.145034,10.521474,11.504905,10.594449,11.449143,8.864414,8.227822,9.967541,8.98618,8.338188,12.007932,14.527466,0,0.210957427,59
R.4357.7.R,1,14.045895,12.75424,10.64861,12.359141,10.948934,8.133843,10.429155,11.816875,10.800477,11.694689,8.617052,7.703209,10.319198,9.168331,8.102479,12.29902,14.163115,0,0.218516043,60
R.3418.23.20A1,0,13.731073,11.94021,10.6502,13.02192,11.329494,8.503193,10.764979,11.223544,11.628246,11.235164,7.387343,7.364786,9.677553,9.159405,8.183625,13.73575,15.372865,0,0.219549365,61
R.608.38,0,13.078962,12.517277,10.416095,12.608307,10.225481,7.780079,10.700557,11.167513,10.380471,11.616394,7.268826,7.374319,10.540815,8.813431,7.859306,11.722669,13.95291,0,0.220048371,62
R.704.17,0,13.406051,12.315014,9.919516,13.384582,10.865986,5.381551,10.465746,12.076645,10.95956,11.507659,7.7472,7.003039,10.314106,10.652655,9.367612,12.375469,12.927852,0,0.228579169,63
